# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	239737
#@/user_id	0278165e-67a8-4678-b168-f946133cb532
ba dian ban 	八點半	c=2 d=2.3068e-157 t=239737
ba diao 	拔掉	c=1 d=0 t=239737
ba gua 	八卦	c=0 d=1.00481e-28 t=239737
ba gua cun 	八卦村	c=1 d=1.00985e-27 t=239737
ba guo guan 	把過關	c=1 d=4.5172e-34 t=239737
ba ji si tan 	巴基斯坦	c=1 d=1.51136e-241 t=239737
ba jiao 	八角	c=1 d=0 t=239737
ba la ba la 	巴拉巴拉	c=1 d=6.63457e-262 t=239737
ba le 	罷了	c=12 d=7.90394e-18 t=239737
ba li 	巴黎	c=1 d=8.21476e-246 t=239737
ba lou 	八樓	c=1 d=0 t=239737
ba ma 	爸媽	c=6 d=1.32098e-69 t=239737
ba qi 	霸氣	c=1 d=2.22116e-65 t=239737
ba sha 	巴沙	c=2 d=7.11341e-220 t=239737
ba shang 	壩上	c=5 d=0 t=239737
ba shi 	巴士	c=1 d=5.74589e-276 t=239737
ba si 	巴斯	c=1 d=0 t=239737
ba tie 	巴鐵	c=2 d=3.09366e-241 t=239737
ba wo 	把握	c=2 d=2.01197e-19 t=239737
ba xi 	巴西	c=3 d=1.47087e-10 t=239737
ba yue 	八月	c=1 d=3.41533e-156 t=239737
ba yue fen 	八月份	c=3 d=4.55009e-178 t=239737
ba zhe 	霸着	c=1 d=9.20436e-290 t=239737
ba zhua yu 	八爪魚	c=1 d=1.40698e-252 t=239737
ba zi 	八字	c=1 d=7.54585e-188 t=239737
ba zi 	把子	c=1 d=1.08979e-42 t=239737
bai 	拜	c=2 d=4.91963e-38 t=239737
bai 	擺	c=1 d=3.20925e-306 t=239737
bai 	白	c=15 d=9.59876e-10 t=239737
bai 	百	c=5 d=9.06937e-87 t=239737
bai ban 	白板	c=21 d=4.17075e-153 t=239737
bai ban bi 	白板筆	c=2 d=4.66701e-153 t=239737
bai bao 	白寶	c=1 d=6.50757e-123 t=239737
bai bi 	敗筆	c=1 d=4.40889e-307 t=239737
bai bian 	百變	c=1 d=0 t=239737
bai cai 	白菜	c=3 d=9.94577e-84 t=239737
bai cai jia 	白菜價	c=1 d=1.07858e-37 t=239737
bai che 	白扯	c=1 d=6.42572e-33 t=239737
bai cu 	白醋	c=2 d=3.30672e-70 t=239737
bai da 	白搭	c=2 d=1.45318e-191 t=239737
bai deng 	拜登	c=20 d=7.25261e-16 t=239737
bai du 	百度	c=23 d=1.72651e-82 t=239737
bai fen bai 	百分百	c=1 d=5.60839e-197 t=239737
bai fen bi 	百分比	c=3 d=6.65714e-155 t=239737
